ano,codigo_depto,departamento,poblacion_5_16,tasa_matriculacion_5_16,cobertura_neta,cobertura_neta_transicion,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_transicion,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tamano_promedio_grupo,sedes_conectadas_a_internet,desercion,desercion_transicion,desercion_primaria,desercion_secundaria,desercion_media,aprobacion,aprobacion_transicion,aprobacion_primaria,aprobacion_secundaria,aprobacion_media,reprobacion,reprobacion_transicion,reprobacion_primaria,reprobacion_secundaria,reprobacion_media,repitencia,repitencia_transicion,repitencia_primaria,repitencia_secundaria,repitencia_media
2012,11,"Bogotá, D.C.",1470171,86.94,0.8652,66.33,83.97,81.47,51.78,0.9286,82.17,94.28,101.09,78.59,17.5,100,0.038900000000000004,,3.42,4.88,4.45,0.9611,0,96.58,4.88,95.55,0.0,0,96.58,0,0,0.051699999999999996,0,3.61,8.31,4.08
2012,13,Bolívar,495108,88.97,0.8887,60.47,87.67,68.02,38.08,1.0353,106.56,116.28,100.31,77.07,22.5,33.44,0.0339,3.37,3.25,3.57,3.5,0.9283,0.9,93.56,3.57,92.14,0.0378,0.9,93.56,5.32,4.36,0.024,0.9,2.49,2.88,1.01
2012,15,Boyacá,297132,85.7,0.8564,70.48,81.46,74.61,48.24,0.9995999999999999,92.95,95.26,111.24,91.74,24.77,29.95,0.0323,2.74,2.38,4.26,3.47,0.9192,0.21,94.11,4.26,91.66,0.048600000000000004,0.21,94.11,7.48,4.87,2.0,0.21,1.44,3.11,1.5
2012,17,Caldas,198526,84.55,0.845,64.28,81.03,72,43.83,0.966,84.88,100.17,103.16,80.79,23.73,30.75,0.0464,4.7,3.98,5.91,3.57,0.8895000000000001,0.47,90.35,5.91,90.21,0.064,0.47,90.35,8.77,6.22,0.0432,0.47,4.26,5.73,2.38
2012,18,Caquetá,124622,83.28,0.8325,49.34,85.86,56.23,24.37,0.9826,86.33,118.04,94.95,58.65,27.41,11.98,0.0723,6.91,6.92,8.38,5.22,0.9159999999999999,0.13,92.24,8.38,92.91,1.16,0.13,92.24,1.92,1.87,1.16,0.13,1.09,1.6,0.72
2012,19,Cauca,325212,83.48,0.8340000000000001,53.59,85.38,60.53,29.56,1.0215,94.47,121.29,98.98,67.13,18.85,43.75,0.04019999999999999,2.89,3.04,5.42,5.53,0.9205,0.35,92.62,5.42,91.03,0.0393,0.35,92.62,4.34,3.44,1.15,0.35,1.06,1.61,0.8
2012,20,Cesar,263271,94.15,0.9401,65.94,93.85,69.36,34.62,1.09,126.49,126.51,101.22,71.1,26.28,25.9,0.0513,6.22,5.28,5.08,3.24,0.9007999999999999,2.12,90.8,5.08,91.11,0.048,2.12,90.8,6.81,5.65,1.49,2.12,1.37,2,0.89
2012,23,Córdoba,405302,93.78,0.9369,65.06,91.54,71.82,37.52,1.1073,114.96,121.51,111.46,79.37,22.35,30.49,0.029500000000000002,3.14,2.48,3.51,3.31,0.9533,0.48,96.17,3.51,94.23,1.72,0.48,96.17,2.43,2.46,0.0256,0.48,2.59,3.01,1.52
2012,25,Cundinamarca,571082,91.17,0.9097,63.61,87.82,81.53,47.27,1.0188,87.31,103.89,112.54,83.12,16.78,39.91,0.0294,3.24,2.17,3.82,2.85,0.9584,0.06,97.25,3.82,95.17,1.22,0.06,97.25,1.97,1.97,0.0202,0.06,1.53,3.2,1.28
2012,27,Chocó,145607,80.97,0.8095,62.17,83.24,41.9,19.1,0.9964,95.46,130.24,81.85,55.82,14.92,18.98,0.0209,1.32,1.74,2.98,2.98,0.9188,1.45,92.32,2.98,92.76,0.0603,1.45,92.32,8.49,4.26,0.1,1.45,0.06,0.21,0.11
